ID,Age at admission,Gender,Governorates,Country,Previous School,Scholarship,SAT,EEE,GPA,Performance,Attempted hours,Earned hours
201102334,19,F,Mount Lebanon,Lebanon,"GrandLyceeFrancolibanais,bey",Yes,1070.0,0.0,77.8,Pass,15,15
201103868,18,M,Mount Lebanon,Lebanon,"Int'l College, Ras Beirut",Yes,1200.0,0.0,68.0,Fail,15,6
201103566,18,F,Beirut,Lebanon,"Lycee Abdul-Kader, Beirut",Yes,1110.0,0.0,87.6,Pass,15,15
201102203,18,M,Beirut,Lebanon,"St.Mary Orthodox Col,Beirut",Yes,1200.0,0.0,80.0,Pass,15,15
201103561,18,M,Beirut,Lebanon,"Lycee Abdul-Kader, Beirut",Yes,1080.0,0.0,78.8,Pass,15,15
201103785,18,F,Mount Lebanon,Lebanon,College Notre Dame de Jamhour,Yes,1090.0,0.0,77.5,Pass,15,15
201103778,18,M,Mount Lebanon,Lebanon,College Notre Dame de Jamhour,Yes,1210.0,0.0,80.2,Pass,15,15
201100903,18,F,Beirut,Lebanon,"GrandLyceeFrancolibanais,bey",Yes,1060.0,0.0,75.6,Pass,15,15
201100621,18,F,Beirut,Lebanon,Ecole St.Joseph l'Apparition,Yes,1100.0,0.0,81.0,Pass,15,15
201101400,18,M,Beirut,Lebanon,The Int'l School of Choueifat ,Yes,1210.0,0.0,75.0,Pass,15,12
201102560,18,F,North Lebanon,Lebanon,Lycee F. L. A. De Lamartine,Yes,1100.0,0.0,81.2,Pass,15,15
201102735,18,M,Beirut,Lebanon,German School - Beirut,Yes,1120.0,0.0,69.5,Fail,12,9
201101871,18,F,Mount Lebanon,Lebanon,Hripsirmiantz College,Yes,1190.0,0.0,88.0,Pass,15,15
201102538,18,F,Mount Lebanon,Lebanon,"Saint Coeur, Bauchrie",Yes,1070.0,0.0,81.8,Pass,15,15
201101406,18,M,Mount Lebanon,Lebanon,"Mustapha H.Sch,Haret H.",Yes,1120.0,0.0,75.8,Pass,15,15
201102659,18,F,Beirut,Lebanon,"Besanson St.Anne, Beirut",Yes,1060.0,0.0,79.6,Pass,15,15
201102677,18,M,Beirut,Lebanon,Al Iman School,Yes,1090.0,0.0,64.8,Fail,15,15
